id,first_name,last_name,gender
984,Nicholas,Collins,Male
985,Lillian,Porter,Female
986,Tammy,Ellis,Female
987,Shirley,Banks,Female
988,Keith,Bailey,Male
989,Kathy,Castillo,Female
990,Nancy,Turner,Female
991,Jane,Kennedy,Female
992,Terry,Ellis,Male
993,Irene,Larson,Female
994,Theresa,Washington,Female
995,Louise,Carroll,Female
996,Kathleen,Jordan,Female
997,Paula,Collins,Female
998,Sarah,Lewis,Female
999,Steven,Jordan,Male
1000,Anna,Henry,Female
